[[7,15,6,19,11,12,5,11,11,1,5,12,18,18,13,6,17,8,19,7,17,5,14,8,1,13,13,6,19,19,15,16,11,6,2,4,3,10,16,8,14,2,10,10,6,7,10,2,3,16,19,6,17,2,6,10],
[10,3,16,17,6,5,12,11,11,3,9,0,6,8,13,16,17,0,9,9,16,4,11,5,16,13,17,16,8,8,0,10,4,6,16,18,3,8,6,8,14,10,7,0,7,7,5,2,15,16,19,14,17,14,6,13],
[7,14,19,8,9,12,9,17,16,15,12,11,17,9,13,6,12,1,12,3,2,6,3,19,0,13,13,6,11,19,11,16,10,6,4,4,0,17,12,5,14,11,11,3,15,0,15,19,11,2,6,6,16,11,17,0],
[14,6,17,17,13,6,18,18,2,8,17,3,19,4,13,0,17,8,5,8,17,17,3,0,15,12,19,5,19,19,5,15,8,3,2,19,10,1,19,8,14,15,10,10,6,13,9,2,4,16,16,3,6,0,17,10],
[3,15,6,7,14,4,17,7,7,1,7,12,0,6,4,3,17,19,12,16,14,5,14,18,1,17,11,19,11,11,5,4,1,6,17,9,7,14,13,1,13,7,11,9,11,7,7,0,15,16,2,6,17,19,13,7],
[3,4,17,10,8,8,5,11,11,18,5,2,10,10,13,4,12,12,16,2,12,6,12,10,17,18,16,6,3,19,11,16,2,6,8,0,4,5,10,6,14,7,3,7,6,7,10,17,8,16,19,12,6,2,14,19],
[2,3,15,3,2,10,7,13,11,7,13,4,7,15,4,15,12,11,16,11,1,9,14,6,15,17,8,18,19,8,8,3,11,17,0,9,2,8,8,14,15,2,13,10,6,13,7,4,3,17,0,12,9,0,0,10],
[15,10,16,2,6,15,5,11,11,18,4,9,9,17,10,13,17,3,17,10,17,16,1,17,0,13,1,19,14,9,1,2,3,3,12,8,14,8,15,0,14,8,2,3,13,19,10,0,18,16,7,18,12,17,17,19],
[7,9,6,15,3,12,5,11,2,15,10,3,2,9,8,6,17,18,10,9,17,8,18,13,12,2,8,4,15,3,3,6,18,13,15,16,7,2,8,8,14,6,2,15,6,10,10,4,2,17,8,13,17,0,13,10],
[16,15,16,2,2,15,18,16,8,0,10,6,7,19,8,12,14,6,11,7,13,8,14,11,1,13,3,14,16,2,7,13,6,6,19,18,0,13,3,8,14,2,15,2,10,0,5,2,3,16,19,11,15,7,4,9],
[1,16,12,16,14,11,14,8,6,2,12,18,16,3,14,10,19,15,17,3,6,3,1,14,19,13,3,1,1,19,5,5,8,12,4,0,13,4,15,8,12,11,8,6,6,1,19,15,12,17,13,8,1,17,12,3],
