[[7,15,6,19,11,12,5,11,11,1,5,12,18,18,13,6,17,8,19,7,17,5,14,8,1,13,13,6,19,19,15,16,11,6,2,4,3,10,16,8,14,2,10,10,6,7,10,2,3,16,19,6,17,2,6,10],
[3,1,19,16,15,3,8,18,11,4,5,8,5,14,4,9,17,15,16,11,12,15,15,2,15,19,5,12,17,9,0,14,7,3,6,5,10,1,3,19,14,6,10,2,6,18,16,16,9,16,19,6,12,13,6,10],
[16,15,14,18,0,1,13,19,11,18,10,10,18,18,13,10,17,12,11,19,0,16,1,8,6,12,17,11,15,14,6,14,2,6,12,4,10,16,5,8,13,11,13,8,13,1,16,19,3,16,7,8,6,16,16,2],
[9,7,18,18,17,17,5,7,16,16,1,7,2,7,15,5,8,5,11,7,14,6,13,8,1,7,14,0,13,14,13,18,3,5,14,19,17,8,7,8,14,10,13,8,10,15,10,2,4,16,19,17,17,11,8,13],
[7,1,9,0,17,12,4,11,7,8,5,1,10,6,0,6,17,5,11,9,15,10,18,10,18,9,14,15,19,13,10,15,12,1,8,1,6,8,12,9,19,19,13,2,8,2,16,2,8,16,6,14,1,2,2,7],
[14,12,16,4,17,13,5,8,11,0,12,7,12,19,6,6,12,12,9,13,19,8,13,16,3,13,17,2,17,19,11,1,6,6,2,4,12,1,16,2,13,10,10,10,0,7,13,19,9,16,13,6,18,10,0,5],
[3,5,15,15,2,10,18,11,0,1,10,15,10,0,13,6,0,16,3,7,3,14,10,2,11,12,1,3,15,19,1,0,13,6,18,12,6,8,8,12,14,4,10,17,12,3,10,4,16,17,18,5,17,2,3,6],
[13,15,6,1,15,1,5,11,2,16,18,12,17,18,8,6,2,17,14,10,3,3,14,8,18,9,1,7,9,1,10,19,15,5,13,14,14,12,9,13,14,3,10,10,11,12,10,2,3,16,6,1,17,10,10,0],
[4,4,6,12,18,14,3,11,11,12,5,0,14,3,13,18,5,1,1,3,0,17,19,18,15,2,13,8,19,1,11,14,12,2,5,17,13,8,12,8,14,2,11,8,19,5,12,2,10,2,19,6,17,0,1,17],
[16,8,15,4,8,6,5,15,11,13,8,8,11,10,14,19,8,14,8,11,2,18,3,15,2,13,7,1,19,8,15,6,11,1,6,6,19,3,18,8,14,9,10,7,6,3,10,2,3,16,17,12,17,14,0,18],
[1,16,12,16,14,11,14,8,6,2,12,18,16,3,14,10,19,15,17,3,6,3,1,14,19,13,3,1,1,19,5,5,8,12,4,0,13,4,15,8,12,11,8,6,6,1,19,15,12,17,13,8,1,17,12,3],
[1,16,6,11,18,1,8,8,6,13,9,18,1,1,1,10,19,5,12,5,9,17,3,2,19,19,7,10,15,8,1,10,6,7,8,3,11,14,0,11,16,6,8,1,4,4,9,15,7,18,13,14,12,14,10,19],
[9,12,12,16,4,15,15,18,6,2,17,18,5,8,6,4,2,5,13,4,16,11,12,19,13,10,3,16,1,8,11,11,6,14,15,18,7,5,5,6,0,9,8,4,0,18,19,15,16,18,7,9,12,12,2,5],
[1,15,6,14,12,6,15,11,9,16,3,18,16,3,14,9,2,14,1,10,11,13,6,7,17,19,7,0,2,4,3,14,6,9,11,19,14,19,14,4,12,12,7,9,17,15,16,16,4,9,10,10,19,7,18,13],
[8,10,11,14,1,17,14,0,6,7,12,8,10,17,18,10,19,7,2,14,1,18,7,11,12,14,7,14,14,2,7,5,9,5,9,17,13,17,12,8,12,19,5,6,18,9,10,16,11,17,13,5,2,10,11,2],
[3,16,17,9,14,16,14,14,6,17,3,3,2,5,14,18,19,10,17,17,15,10,19,19,12,13,14,1,15,19,19,2,5,12,1,0,14,0,4,8,13,13,8,19,10,17,12,17,2,2,10,9,13,8,11,2],
[15,3,12,19,2,4,6,7,12,7,12,6,5,3,5,10,7,14,8,5,2,6,2,11,12,13,3,1,19,19,5,8,13,12,4,0,18,5,15,11,14,4,7,11,10,10,2,17,12,18,13,17,2,2,4,5],
