BS,ant,Azimuth,Tilt,Beam Pattern
site1,1,100,3,0
site1,1,130,11,8
site1,1,110,1,11
site1,1,110,3,5
site1,1,90,11,13
site1,1,100,13,10
site1,1,130,3,15
site1,1,130,9,1
site1,1,80,1,13
site1,1,90,-5,4
site1,1,120,-3,13
site1,1,80,3,13
site1,1,110,1,0
site1,1,110,-1,9
site1,1,110,11,12
site1,1,100,-3,8
site1,1,70,7,7
site1,1,110,11,16
site1,1,110,7,3
site1,1,70,-5,2
site1,2,270,3,0
site1,2,300,-5,3
site1,2,240,-5,9
site1,2,290,9,9
site1,2,280,13,7
site1,2,240,-3,5
site1,2,280,9,13
site1,2,240,-3,7
site1,2,280,-1,2
site1,2,280,13,9
site1,2,250,3,0
site1,2,240,1,9
site1,2,260,-3,7
site1,2,280,-5,6
site1,2,270,-1,8
site1,2,280,-1,7
site1,2,270,1,15
site1,2,280,-7,3
site1,2,240,5,14
site1,2,250,1,0
site1,3,0,3,0
site1,3,0,3,7
site1,3,0,1,11
site1,3,10,7,15
site1,3,30,7,1
site1,3,340,7,13
site1,3,0,-1,4
site1,3,340,9,13
site1,3,10,-5,14
site1,3,0,-3,13
site1,3,10,9,3
site1,3,20,7,13
site1,3,10,5,2
site1,3,0,11,12
site1,3,20,-5,5
site1,3,30,13,7
site1,3,330,-3,4
site1,3,20,13,16
site1,3,330,-3,1
site1,3,0,1,8
site2,4,335,5,0
site2,4,5,9,10
site2,4,5,5,4
site2,4,335,7,10
site2,4,315,13,1
site2,4,325,11,3
site2,4,335,13,15
site2,4,335,3,8
site2,4,305,15,4
site2,4,325,13,3
site2,4,5,3,6
site2,4,355,7,6
site2,4,355,-1,6
site2,4,305,15,1
site2,4,335,11,3
site2,4,325,9,13
site2,4,315,3,11
site2,4,325,9,8
site2,4,315,13,14
site2,4,345,5,14
site2,5,125,8,0
site2,5,125,18,1
site2,5,115,18,14
site2,5,95,12,7
site2,5,115,12,10
site2,5,145,8,10
site2,5,105,12,7
site2,5,145,12,10
site2,5,115,12,6
site2,5,155,18,10
site2,5,145,0,7
site2,5,145,8,8
site2,5,105,16,10
site2,5,155,8,15
site2,5,125,2,0
site2,5,155,-2,3
site2,5,155,14,2
site2,5,135,6,6
site2,5,145,10,14
site2,5,155,6,16
site2,6,175,5,0
site2,6,165,1,8
site2,6,145,15,5
site2,6,195,-1,7
site2,6,155,-5,4
site2,6,145,1,10
site2,6,195,-1,8
site2,6,155,-1,8
site2,6,195,-5,2
site2,6,165,7,12
site2,6,165,1,5
site2,6,145,-3,4
site2,6,175,5,11
site2,6,175,3,15
site2,6,145,-3,10
site2,6,165,3,12
site2,6,165,-1,7
site2,6,195,13,4
site2,6,145,13,10
site2,6,195,-1,10
site3,7,170,3,0
site3,7,190,1,0
site3,7,170,-3,6
site3,7,170,-7,0
site3,7,150,11,1
site3,7,170,1,14
site3,7,190,13,5
site3,7,140,1,10
site3,7,200,-1,3
site3,7,170,-1,7
site3,7,190,-5,0
site3,7,190,-1,11
site3,7,170,-5,14
site3,7,150,1,6
site3,7,200,-1,2
site3,7,190,-5,13
site3,7,170,-1,11
site3,7,190,-3,9
site3,7,170,7,0
site3,7,180,-3,1
site3,8,0,3,0
site3,8,20,5,10
site3,8,350,7,10
site3,8,0,-7,1
site3,8,0,5,4
site3,8,330,-7,7
site3,8,20,7,1
site3,8,10,-3,0
site3,8,20,1,7
site3,8,0,5,9
site3,8,350,-5,8
site3,8,350,-7,6
site3,8,10,1,5
site3,8,340,1,8
site3,8,340,5,1
site3,8,0,11,4
site3,8,10,5,13
site3,8,10,-5,5
site3,8,30,-7,7
site3,8,350,3,13
site3,9,270,3,0
site3,9,260,7,9
site3,9,250,3,12
site3,9,270,-1,7
site3,9,270,-5,3
site3,9,290,3,8
site3,9,300,3,3
site3,9,250,13,11
site3,9,250,1,11
site3,9,240,9,4
site3,9,280,-3,5
site3,9,280,7,13
site3,9,260,9,9
site3,9,250,1,15
site3,9,270,3,1
site3,9,240,1,1
site3,9,250,-3,0
site3,9,260,1,13
site3,9,300,13,2
site3,9,240,-1,15
site4,10,60,3,0
site4,10,50,7,10
site4,10,70,-7,14
site4,10,90,1,8
site4,10,80,9,4
site4,10,90,-1,2
site4,10,70,5,10
site4,10,80,3,8
site4,10,50,-7,4
site4,10,40,7,9
site4,10,60,1,6
site4,10,30,-7,3
site4,10,70,-7,5
site4,10,40,11,0
site4,10,60,-3,14
site4,10,60,-5,11
site4,10,80,11,13
site4,10,40,11,11
site4,10,30,1,15
site4,10,70,1,12
site4,11,330,3,0
site4,11,310,-5,12
site4,11,310,-1,6
site4,11,340,13,10
site4,11,350,9,8
site4,11,320,1,14
site4,11,330,11,14
site4,11,310,7,10
site4,11,310,-7,4
site4,11,320,7,8
site4,11,310,9,4
site4,11,300,-5,9
site4,11,300,1,7
site4,11,310,-1,12
site4,11,340,3,6
site4,11,330,-5,4
site4,11,320,13,12
site4,11,300,3,6
site4,11,350,11,16
site4,11,330,5,13
site5,12,345,12,0
site5,12,15,22,15
site5,12,335,22,11
site5,12,15,10,13
site5,12,335,2,3
site5,12,315,8,5
site5,12,15,4,0
site5,12,5,22,10
site5,12,345,4,8
site5,12,355,2,14
site5,12,5,6,13
site5,12,355,22,3
site5,12,345,22,7
site5,12,345,12,6
site5,12,345,22,12
site5,12,355,22,10
site5,12,5,6,1
site5,12,325,4,8
site5,12,345,10,0
site5,12,345,20,11
site5,13,190,7,0
site5,13,180,-1,9
site5,13,220,5,12
site5,13,220,-3,2
site5,13,190,1,12
site5,13,180,3,6
site5,13,210,11,14
site5,13,160,5,0
site5,13,220,3,0
site5,13,220,15,13
site5,13,200,7,0
site5,13,180,9,15
site5,13,220,-1,9
site5,13,220,9,7
site5,13,170,7,6
site5,13,200,9,11
site5,13,170,7,2
site5,13,180,5,12
site5,13,200,1,2
site5,13,200,1,1
site5,14,75,12,0
site5,14,45,6,16
site5,14,95,18,11
site5,14,105,2,6
site5,14,45,22,7
site5,14,105,2,15
site5,14,85,12,5
site5,14,55,22,5
site5,14,85,10,5
site5,14,85,10,8
site5,14,95,6,6
site5,14,85,14,5
site5,14,65,6,2
site5,14,105,6,11
site5,14,55,16,14
site5,14,95,10,9
site5,14,105,16,15
site5,14,95,14,4
site5,14,95,12,2
site5,14,85,4,10
site6,15,260,3,0
site6,15,260,-5,5
site6,15,290,5,13
site6,15,260,-1,2
site6,15,250,1,10
site6,15,250,11,11
site6,15,270,-5,13
site6,15,280,1,6
site6,15,230,9,5
site6,15,270,11,16
site6,15,240,3,14
site6,15,280,11,13
site6,15,230,-5,16
site6,15,250,-5,15
site6,15,250,11,1
site6,15,270,7,9
site6,15,290,-3,10
site6,15,240,11,2
site6,15,250,-7,5
site6,15,240,5,13
site6,16,190,3,0
site6,16,220,-7,7
site6,16,160,-3,0
site6,16,170,-3,11
site6,16,170,7,1
site6,16,160,-1,2
site6,16,220,1,8
site6,16,220,1,11
site6,16,220,5,11
site6,16,220,13,9
site6,16,210,11,4
site6,16,210,3,0
site6,16,170,-7,3
site6,16,190,-3,4
site6,16,210,9,0
site6,16,200,-3,6
site6,16,190,9,6
site6,16,210,-3,9
site6,16,220,3,6
site6,16,170,9,15
site6,17,350,3,0
site6,17,10,1,2
site6,17,10,11,13
site6,17,330,3,14
site6,17,10,-7,11
site6,17,330,5,0
site6,17,20,-3,2
site6,17,320,11,15
site6,17,10,-3,14
site6,17,10,7,12
site6,17,10,9,9
site6,17,20,13,16
site6,17,10,13,13
site6,17,20,-1,13
site6,17,340,-7,4
site6,17,10,3,5
site6,17,320,-7,3
site6,17,340,-1,16
site6,17,330,11,11
site6,17,350,-7,14
site7,18,140,3,0
site7,18,130,3,5
site7,18,140,-5,6
site7,18,150,-1,4
site7,18,160,-3,1
site7,18,160,7,1
site7,18,150,-1,15
site7,18,150,9,16
site7,18,160,-5,6
site7,18,150,1,0
site7,18,120,3,10
site7,18,150,11,5
site7,18,110,11,14
site7,18,130,7,1
site7,18,160,5,6
site7,18,160,11,14
site7,18,150,3,13
site7,18,110,9,0
site7,18,110,-7,13
site7,18,130,3,6
site7,19,340,3,0
site7,19,310,-5,2
site7,19,350,-3,7
site7,19,330,-1,1
site7,19,320,-7,4
site7,19,350,-1,15
site7,19,320,5,6
site7,19,10,-3,6
site7,19,320,9,1
site7,19,0,-1,12
site7,19,350,11,11
site7,19,330,13,1
site7,19,350,11,12
site7,19,320,7,15
site7,19,340,1,0
site7,19,340,5,10
site7,19,320,-1,6
site7,19,330,-5,9
site7,19,330,-7,6
site7,19,350,3,5
site8,20,195,14,0
site8,20,205,22,9
site8,20,195,12,6
site8,20,175,6,2
site8,20,225,22,12
site8,20,185,4,6
site8,20,165,4,3
site8,20,195,12,14
site8,20,175,22,13
site8,20,195,18,8
site8,20,165,8,2
site8,20,185,12,12
site8,20,185,10,9
site8,20,225,12,14
site8,20,225,14,16
site8,20,225,12,2
site8,20,185,4,9
site8,20,185,16,3
site8,20,195,10,11
site8,20,205,8,15
site8,21,40,18,0
site8,21,30,8,3
site8,21,50,8,4
site8,21,50,16,12
site8,21,50,8,0
site8,21,50,8,3
site8,21,50,24,15
site8,21,40,26,7
site8,21,20,12,1
site8,21,20,12,6
site8,21,60,12,7
site8,21,20,12,12
site8,21,50,26,14
site8,21,60,28,0
site8,21,60,20,2
site8,21,20,26,4
site8,21,60,28,6
site8,21,30,10,6
site8,21,30,24,14
site8,21,10,26,6
site8,22,280,10,0
site8,22,250,14,10
site8,22,250,6,14
site8,22,280,4,14
site8,22,290,16,2
site8,22,260,12,2
site8,22,250,10,16
site8,22,300,4,10
site8,22,280,6,15
site8,22,310,0,8
site8,22,260,8,7
site8,22,280,20,12
site8,22,300,16,15
site8,22,260,8,6
site8,22,290,18,15
site8,22,270,6,11
site8,22,270,8,16
site8,22,270,6,3
site8,22,270,14,15
site8,22,260,14,8
site9,23,190,10,0
site9,23,160,10,7
site9,23,220,14,9
site9,23,160,8,15
site9,23,160,20,15
site9,23,160,12,12
site9,23,210,14,12
site9,23,170,10,13
site9,23,190,14,4
site9,23,160,8,13
site9,23,190,12,11
site9,23,210,20,12
site9,23,200,18,2
site9,23,200,20,10
site9,23,190,20,6
site9,23,190,16,12
site9,23,190,4,3
site9,23,200,16,15
site9,23,190,0,3
site9,23,180,8,5
site9,24,20,16,0
site9,24,40,16,6
site9,24,30,16,6
site9,24,0,16,6
site9,24,20,16,16
site9,24,40,18,12
site9,24,20,6,3
site9,24,40,18,7
site9,24,350,20,6
site9,24,40,8,1
site9,24,30,18,2
site9,24,0,10,9
site9,24,50,10,8
site9,24,20,26,6
site9,24,50,6,14
site9,24,10,26,11
site9,24,30,12,2
site9,24,0,16,13
site9,24,30,10,11
site9,24,20,6,1
site9,25,100,10,0
site9,25,90,16,8
site9,25,70,18,6
site9,25,110,16,8
site9,25,70,12,1
site9,25,90,18,5
site9,25,70,4,3
site9,25,130,16,1
site9,25,120,20,2
site9,25,100,16,15
site9,25,80,4,1
site9,25,110,0,8
site9,25,110,10,11
site9,25,90,12,0
site9,25,80,20,15
site9,25,80,12,5
site9,25,100,10,6
site9,25,90,16,4
site9,25,90,12,1
site9,25,90,2,3
site10,26,180,3,0
site10,26,170,13,10
site10,26,180,-1,4
site10,26,190,9,9
site10,26,200,13,13
site10,26,170,13,12
site10,26,210,11,2
site10,26,150,13,13
site10,26,170,-5,6
site10,26,160,1,16
site10,26,210,5,12
site10,26,160,7,13
site10,26,190,-7,1
site10,26,170,-1,14
site10,26,200,9,4
site10,26,150,3,10
site10,26,180,7,11
site10,26,150,3,5
site10,26,150,1,0
site10,26,190,5,16
site10,27,60,3,0
site10,27,70,-3,8
site10,27,60,5,4
site10,27,60,13,3
site10,27,80,-3,8
site10,27,70,7,7
site10,27,80,13,0
site10,27,90,11,0
site10,27,80,11,1
site10,27,40,9,1
site10,27,70,5,15
site10,27,30,-1,8
site10,27,70,3,2
site10,27,50,5,13
site10,27,30,-1,4
site10,27,60,7,11
site10,27,70,-1,15
site10,27,60,3,9
site10,27,30,5,4
site10,27,60,9,11
site10,28,300,3,0
site10,28,310,3,15
site10,28,330,-5,16
site10,28,270,5,11
site10,28,290,7,9
site10,28,280,7,13
site10,28,320,-7,14
site10,28,270,1,1
site10,28,330,3,12
site10,28,320,-5,2
site10,28,330,-1,16
site10,28,270,9,0
site10,28,330,1,10
site10,28,280,5,16
site10,28,280,7,7
site10,28,270,5,3
site10,28,320,-1,3
site10,28,320,1,3
site10,28,330,-3,0
site10,28,280,11,12
site11,29,280,2,0
site11,29,290,-4,13
site11,29,300,-2,13
site11,29,290,-6,0
site11,29,270,8,2
site11,29,300,-8,6
site11,29,260,-8,7
site11,29,300,-8,14
site11,29,250,0,0
site11,29,270,4,3
site11,29,300,-4,6
site11,29,300,-2,7
site11,29,310,-4,12
site11,29,290,0,3
site11,29,310,-8,9
site11,29,290,4,10
site11,29,310,-8,0
site11,29,290,6,3
site11,29,310,-2,16
site11,29,280,10,7
site11,30,100,2,0
site11,30,120,-4,12
site11,30,90,12,12
site11,30,70,10,5
site11,30,100,2,14
site11,30,80,-6,0
site11,30,90,-4,6
site11,30,90,-6,0
site11,30,90,2,3
site11,30,100,4,14
site11,30,100,6,9
site11,30,100,0,14
site11,30,130,2,4
site11,30,130,-2,6
site11,30,110,-2,8
site11,30,100,6,8
site11,30,120,8,13
site11,30,120,4,6
site11,30,90,2,5
site11,30,80,4,13
site12,31,295,20,0
site12,31,265,16,12
site12,31,305,14,6
site12,31,305,26,2
site12,31,305,16,13
site12,31,275,10,13
site12,31,315,20,0
site12,31,275,10,3
site12,31,315,12,8
site12,31,305,14,2
site12,31,325,20,5
site12,31,325,18,8
site12,31,265,10,14
site12,31,265,24,7
site12,31,295,14,14
site12,31,265,22,4
site12,31,325,18,1
site12,31,275,26,5
site12,31,265,22,8
site12,31,295,28,7
site12,32,50,8,0
site12,32,50,12,9
site12,32,20,-2,8
site12,32,50,0,5
site12,32,40,6,12
site12,32,30,14,3
site12,32,60,6,3
site12,32,40,18,14
site12,32,80,0,14
site12,32,80,4,11
site12,32,40,2,0
site12,32,80,18,3
site12,32,70,4,4
site12,32,60,12,10
site12,32,30,12,9
site12,32,60,-2,3
site12,32,70,0,15
site12,32,50,14,3
site12,32,50,10,16
site12,32,60,4,4
site12,33,165,13,0
site12,33,135,21,12
site12,33,195,11,0
site12,33,145,3,3
site12,33,185,7,3
site12,33,175,23,3
site12,33,145,13,4
site12,33,145,5,9
site12,33,165,23,1
site12,33,195,9,9
site12,33,165,17,4
site12,33,165,19,4
site12,33,135,5,14
site12,33,155,3,0
site12,33,165,9,3
site12,33,155,11,9
site12,33,155,19,14
site12,33,155,23,6
site12,33,145,15,1
site12,33,165,21,12
site13,34,120,2,0
site13,34,90,-8,16
site13,34,100,-4,0
site13,34,100,-8,0
site13,34,150,-8,11
site13,34,90,4,11
site13,34,140,-6,2
site13,34,100,-8,3
site13,34,90,0,9
site13,34,100,-6,15
site13,34,100,-2,6
site13,34,100,-4,7
site13,34,100,-2,1
site13,34,130,-6,1
site13,34,110,-4,14
site13,34,150,-6,8
site13,34,150,6,16
site13,34,130,2,5
site13,34,150,4,2
site13,34,110,4,0
site13,35,240,2,0
site13,35,210,8,13
site13,35,250,10,11
site13,35,220,-2,4
site13,35,230,6,12
site13,35,250,-8,15
site13,35,220,10,9
site13,35,250,-6,4
site13,35,250,-2,10
site13,35,230,4,16
site13,35,240,12,6
site13,35,210,4,6
site13,35,230,-4,14
site13,35,230,2,11
site13,35,240,4,14
site13,35,230,10,10
site13,35,240,10,4
site13,35,210,-6,4
site13,35,210,10,10
site13,35,230,12,4
site13,36,0,2,0
site13,36,20,2,15
site13,36,30,-8,8
site13,36,330,-2,13
site13,36,10,10,0
site13,36,10,-4,0
site13,36,350,10,16
site13,36,330,-6,0
site13,36,20,12,16
site13,36,30,8,14
site13,36,0,6,0
site13,36,10,4,10
site13,36,30,-6,16
site13,36,10,-4,1
site13,36,10,6,1
site13,36,350,-6,16
site13,36,20,-4,11
site13,36,330,-6,11
site13,36,330,4,13
site13,36,340,-2,1
site14,37,140,10,0
site14,37,150,16,3
site14,37,170,20,14
site14,37,150,10,5
site14,37,120,6,11
site14,37,120,12,12
site14,37,160,6,4
site14,37,110,2,15
site14,37,140,16,11
site14,37,170,14,5
site14,37,120,6,8
site14,37,110,0,7
site14,37,150,4,12
site14,37,150,8,11
site14,37,150,6,10
site14,37,120,2,0
site14,37,120,20,9
site14,37,150,18,2
site14,37,140,4,6
site14,37,130,20,8
site14,38,220,10,0
site14,38,190,0,13
site14,38,200,0,14
site14,38,220,8,0
site14,38,220,16,16
site14,38,240,16,12
site14,38,220,14,1
site14,38,230,12,4
site14,38,220,16,14
site14,38,220,2,9
site14,38,240,12,16
site14,38,210,20,12
site14,38,210,10,11
site14,38,240,20,4
site14,38,210,12,4
site14,38,210,20,15
site14,38,220,20,14
site14,38,200,0,12
site14,38,220,18,7
site14,38,220,8,13
site14,39,350,12,0
site14,39,340,18,1
site14,39,10,10,1
site14,39,10,12,1
site14,39,330,14,1
site14,39,20,20,15
site14,39,340,6,1
site14,39,320,4,7
site14,39,320,10,3
site14,39,340,8,16
site14,39,0,8,11
site14,39,350,12,16
site14,39,10,4,13
site14,39,350,18,5
site14,39,330,18,0
site14,39,320,22,5
site14,39,330,10,13
site14,39,20,6,11
site14,39,320,16,2
site14,39,10,4,5
site15,40,250,3,0
site15,40,260,-3,8
site15,40,260,-5,15
site15,40,270,11,3
site15,40,250,13,9
site15,40,240,1,7
site15,40,230,9,3
site15,40,270,13,2
site15,40,280,13,1
site15,40,260,-3,0
site15,40,280,-7,11
site15,40,250,-5,14
site15,40,270,13,0
site15,40,240,5,4
site15,40,260,9,14
site15,40,220,9,13
site15,40,280,11,14
site15,40,250,13,1
site15,40,280,-5,11
site15,40,280,-5,9
site15,41,140,3,0
site15,41,160,3,3
site15,41,120,-3,14
site15,41,110,3,15
site15,41,140,5,14
site15,41,130,5,12
site15,41,110,3,11
site15,41,150,3,13
site15,41,170,-7,7
