BS,ant,Azimuth,Tilt,Beam Pattern
site1,1,100,3,0
site1,1,120,-3,1
site1,1,110,9,16
site1,1,120,1,6
site1,1,120,13,10
site1,1,100,-7,9
site1,1,110,-5,0
site1,1,80,3,13
site1,1,70,3,14
site1,1,130,1,4
site1,1,70,5,8
site1,1,110,7,5
site1,1,80,7,2
site1,1,100,11,7
site1,1,90,7,4
site1,1,130,11,4
site1,1,70,-5,8
site1,1,100,-1,0
site1,1,80,3,7
site1,1,100,-1,15
site1,2,270,3,0
site1,2,270,1,13
site1,2,280,11,9
site1,2,260,-7,13
site1,2,260,-3,1
site1,2,280,-3,13
site1,2,300,11,1
site1,2,260,1,0
site1,2,290,5,16
site1,2,300,-5,15
site1,2,260,1,1
site1,2,260,-7,3
site1,2,300,9,15
site1,2,290,-1,3
site1,2,290,-7,0
site1,2,280,-7,2
site1,2,290,-1,16
site1,2,270,5,8
site1,2,300,-5,13
site1,2,290,11,3
site1,3,0,3,0
site1,3,330,7,13
site1,3,10,9,4
site1,3,0,1,3
site1,3,330,7,7
site1,3,340,7,1
site1,3,30,1,15
site1,3,350,13,13
site1,3,20,13,6
site1,3,350,5,1
site1,3,350,-5,10
site1,3,330,9,14
site1,3,330,3,10
site1,3,30,3,11
site1,3,30,7,9
site1,3,10,-7,0
site1,3,30,-3,8
site1,3,350,5,13
site1,3,20,3,14
site1,3,340,7,0
site2,4,335,5,0
site2,4,345,3,16
site2,4,345,3,15
site2,4,5,-3,1
site2,4,315,11,5
site2,4,315,3,0
site2,4,345,9,11
site2,4,305,-5,2
site2,4,355,-1,9
site2,4,345,13,12
site2,4,355,13,10
site2,4,325,7,8
site2,4,325,15,14
site2,4,305,5,1
site2,4,345,13,1
site2,4,355,-3,14
site2,4,325,7,12
site2,4,315,9,12
site2,4,315,5,7
site2,4,355,-5,2
site2,5,125,8,0
site2,5,115,10,12
site2,5,155,2,11
site2,5,105,0,0
site2,5,145,16,8
site2,5,95,14,10
site2,5,115,0,14
site2,5,95,8,8
site2,5,105,14,1
site2,5,145,18,13
site2,5,105,12,1
site2,5,135,12,10
site2,5,135,2,16
site2,5,135,10,10
site2,5,155,12,13
site2,5,95,4,16
site2,5,155,8,1
site2,5,115,10,7
site2,5,115,10,6
site2,5,115,2,5
site2,6,175,5,0
site2,6,155,5,4
site2,6,165,11,10
site2,6,165,5,1
site2,6,145,3,15
site2,6,165,5,15
site2,6,175,13,10
site2,6,205,13,12
site2,6,155,7,1
site2,6,185,5,15
site2,6,175,13,4
site2,6,195,3,5
site2,6,165,1,9
site2,6,155,-5,0
site2,6,185,9,1
site2,6,205,7,10
site2,6,145,3,9
site2,6,185,-5,13
site2,6,155,9,12
site2,6,185,15,11
site3,7,170,3,0
site3,7,150,7,4
site3,7,190,11,12
site3,7,200,5,6
site3,7,170,9,15
site3,7,170,-7,2
site3,7,140,1,3
site3,7,190,-3,5
site3,7,140,-5,11
site3,7,160,-5,3
site3,7,150,7,10
site3,7,170,5,8
site3,7,190,-1,16
site3,7,200,-1,16
site3,7,200,-3,12
site3,7,140,1,6
site3,7,150,9,1
site3,7,190,-3,7
site3,7,160,7,5
site3,7,150,1,13
site3,8,0,3,0
site3,8,30,1,7
site3,8,0,-7,11
site3,8,30,-1,9
site3,8,330,9,14
site3,8,340,-7,12
site3,8,10,1,6
site3,8,20,7,5
site3,8,10,-1,15
site3,8,330,13,9
site3,8,340,9,5
site3,8,330,7,2
site3,8,330,3,12
site3,8,10,11,9
site3,8,350,1,7
site3,8,330,7,16
site3,8,0,7,6
site3,8,0,9,1
site3,8,10,5,6
site3,8,350,9,11
site3,9,270,3,0
site3,9,290,-5,9
site3,9,290,-1,8
site3,9,240,13,3
site3,9,260,5,16
site3,9,260,5,12
site3,9,280,-7,4
site3,9,250,-5,1
site3,9,300,3,1
site3,9,280,-5,16
site3,9,240,-5,15
site3,9,300,-1,4
site3,9,250,9,10
site3,9,260,11,5
site3,9,300,-1,12
site3,9,280,5,6
site3,9,270,5,16
site3,9,260,-5,0
site3,9,270,-3,12
site3,9,300,-3,4
site4,10,60,3,0
site4,10,80,-5,6
site4,10,60,13,2
site4,10,30,9,11
site4,10,60,11,12
site4,10,50,1,4
site4,10,30,7,14
site4,10,50,3,7
site4,10,60,-3,16
site4,10,80,-5,4
site4,10,60,1,7
site4,10,80,11,15
site4,10,70,9,6
site4,10,90,-3,13
site4,10,60,11,15
site4,10,50,1,9
site4,10,50,-3,9
site4,10,60,7,5
site4,10,80,13,4
site4,10,50,5,3
site4,11,330,3,0
site4,11,350,1,7
