BS,ant,Azimuth,Tilt,Beam Pattern
site1,1,100,3,0
site1,1,90,1,15
site1,1,120,-3,7
site1,1,80,5,14
site1,1,70,7,14
site1,1,70,11,10
site1,1,130,11,12
site1,1,100,-5,10
site1,1,90,7,9
site1,1,100,9,12
site1,1,70,9,2
site1,1,70,-1,8
site1,1,120,-1,3
site1,1,80,11,16
site1,1,120,-5,9
site1,1,130,9,3
site1,1,130,-5,12
site1,1,110,1,12
site1,1,90,13,6
site1,1,120,-5,12
site1,2,270,3,0
site1,2,300,7,11
site1,2,240,-3,1
site1,2,240,-1,8
site1,2,240,1,15
site1,2,250,5,13
site1,2,270,-7,15
site1,2,300,13,11
site1,2,240,1,12
site1,2,300,7,13
site1,2,300,-3,11
site1,2,240,5,0
site1,2,290,9,14
site1,2,280,1,0
site1,2,240,3,15
site1,2,270,9,15
site1,2,300,11,11
site1,2,240,9,12
site1,2,300,-5,2
site1,2,250,13,4
site1,3,0,3,0
site1,3,20,3,6
site1,3,30,3,3
site1,3,350,-5,2
site1,3,20,7,12
site1,3,350,-3,12
site1,3,0,1,10
site1,3,340,3,16
site1,3,340,-1,12
site1,3,330,7,6
site1,3,20,9,13
site1,3,0,9,6
site1,3,350,-7,6
site1,3,20,-5,13
site1,3,330,7,2
site1,3,30,5,14
site1,3,10,13,5
site1,3,350,13,10
site1,3,330,9,1
site1,3,330,-5,10
site2,4,335,5,0
site2,4,5,13,11
site2,4,325,13,14
site2,4,325,1,13
site2,4,5,13,1
site2,4,345,11,2
site2,4,355,15,13
site2,4,5,-1,15
site2,4,355,-5,11
site2,4,305,11,7
site2,4,5,13,14
site2,4,355,7,8
site2,4,315,7,16
site2,4,335,7,14
site2,4,305,13,0
site2,4,345,11,13
site2,4,355,5,4
site2,4,325,9,10
site2,4,345,15,11
site2,4,345,11,3
site2,5,125,8,0
site2,5,135,14,10
site2,5,155,6,10
site2,5,145,6,2
site2,5,95,-2,14
site2,5,95,16,6
site2,5,135,14,13
site2,5,125,-2,16
site2,5,145,6,4
site2,5,105,16,7
site2,5,155,0,8
site2,5,105,6,6
site2,5,145,0,3
site2,5,155,10,14
site2,5,95,2,11
site2,5,155,-2,16
