BS,ant,Azimuth,Tilt,Beam Pattern
site1,1,100,3,0
site1,1,100,-3,5
site1,1,130,-3,15
site1,1,100,13,9
site1,1,110,9,2
site1,1,130,9,5
site1,1,110,3,1
site1,1,70,7,4
site1,1,110,7,0
site1,1,70,9,8
site1,1,80,-3,7
site1,1,90,7,5
site1,1,70,-1,3
site1,1,90,-3,8
site1,1,130,9,10
site1,1,70,9,0
site1,1,80,-7,3
site1,1,80,11,2
site1,1,90,1,3
site1,1,110,-1,9
site1,2,270,3,0
site1,2,280,7,12
site1,2,260,11,4
site1,2,250,11,14
site1,2,290,-1,9
site1,2,260,9,13
site1,2,250,11,3
site1,2,250,9,3
site1,2,290,11,5
site1,2,260,-7,6
site1,2,300,13,1
site1,2,270,-5,4
site1,2,250,5,10
site1,2,260,-3,6
site1,2,300,1,4
site1,2,300,-1,5
site1,2,300,-1,4
site1,2,260,1,10
site1,2,270,11,14
site1,2,240,-3,4
site1,3,0,3,0
site1,3,330,13,4
site1,3,350,11,16
site1,3,0,5,15
site1,3,30,-1,1
site1,3,350,-7,12
site1,3,30,7,12
site1,3,0,3,9
site1,3,350,3,15
site1,3,20,-1,14
site1,3,350,1,9
site1,3,10,11,1
site1,3,10,5,4
site1,3,10,5,9
site1,3,10,9,16
site1,3,330,3,8
site1,3,30,-7,8
site1,3,20,1,14
site1,3,10,-5,15
site1,3,340,13,6
site2,4,335,5,0
site2,4,305,-1,1
site2,4,325,11,5
site2,4,325,11,4
site2,4,335,1,8
site2,4,335,7,3
site2,4,355,-3,13
site2,4,315,9,8
site2,4,315,-5,10
site2,4,345,11,6
site2,4,325,3,12
site2,4,335,5,13
site2,4,345,-1,10
site2,4,305,-5,0
site2,4,325,9,8
site2,4,345,1,14
site2,4,355,7,4
site2,4,355,13,10
site2,4,315,1,14
site2,4,5,3,13
site2,5,125,8,0
site2,5,95,8,8
site2,5,105,14,5
site2,5,155,2,14
site2,5,125,6,13
site2,5,95,16,6
site2,5,135,14,8
site2,5,95,6,16
site2,5,135,16,13
site2,5,155,16,0
site2,5,105,-2,9
site2,5,115,0,9
site2,5,95,16,13
site2,5,145,16,4
site2,5,145,-2,6
site2,5,125,2,12
site2,5,155,6,15
site2,5,155,0,10
site2,5,115,6,0
site2,5,125,6,16
site2,6,175,5,0
site2,6,175,7,4
site2,6,205,3,10
site2,6,195,1,0
site2,6,155,11,0
site2,6,185,9,2
site2,6,185,7,3
site2,6,185,9,15
site2,6,155,5,0
site2,6,205,-5,13
site2,6,185,1,1
site2,6,165,1,9
site2,6,205,7,14
site2,6,165,9,10
site2,6,175,1,9
site2,6,145,3,13
site2,6,205,13,15
site2,6,155,9,15
site2,6,165,-3,1
site2,6,155,1,2
site3,7,170,3,0
site3,7,150,-1,3
site3,7,180,11,5
site3,7,180,-7,15
site3,7,170,9,14
site3,7,150,9,15
site3,7,170,7,3
site3,7,190,5,13
site3,7,170,5,16
site3,7,160,1,8
site3,7,150,-7,2
site3,7,160,3,5
site3,7,140,13,4
site3,7,200,13,8
site3,7,140,-7,8
site3,7,200,-3,3
site3,7,140,-3,13
site3,7,200,3,1
site3,7,160,11,8
site3,7,160,3,14
site3,8,0,3,0
site3,8,330,-7,2
site3,8,30,3,10
site3,8,0,11,14
site3,8,30,5,0
site3,8,10,-1,5
site3,8,10,-7,13
site3,8,30,-3,10
site3,8,30,-7,8
site3,8,30,9,0
site3,8,10,11,9
site3,8,10,11,15
site3,8,20,5,14
site3,8,330,-1,8
site3,8,0,-7,1
site3,8,0,11,11
site3,8,350,11,3
site3,8,350,-1,2
site3,8,330,-7,6
site3,8,340,1,0
site3,9,270,3,0
site3,9,240,-1,10
site3,9,250,-7,8
site3,9,260,-7,7
site3,9,290,-1,6
site3,9,270,-1,0
site3,9,260,-1,6
site3,9,240,5,8
site3,9,240,11,2
site3,9,300,9,6
site3,9,250,-1,3
site3,9,300,3,13
site3,9,290,11,14
site3,9,260,3,6
site3,9,260,11,1
site3,9,240,-5,15
site3,9,260,5,14
site3,9,260,5,15
site3,9,260,-7,2
site3,9,290,-3,2
site4,10,60,3,0
site4,10,70,-3,11
site4,10,90,13,5
site4,10,80,-7,7
site4,10,30,-1,4
site4,10,70,-1,10
site4,10,40,11,11
site4,10,80,7,5
site4,10,80,9,9
site4,10,70,13,8
site4,10,80,7,11
site4,10,40,-1,12
site4,10,60,13,15
site4,10,60,1,16
site4,10,90,5,9
site4,10,60,5,12
site4,10,50,5,14
site4,10,60,1,2
site4,10,90,7,4
site4,10,80,9,0
site4,11,330,3,0
site4,11,310,1,0
site4,11,0,-7,3
site4,11,330,-7,3
site4,11,350,-1,14
site4,11,330,-1,9
site4,11,340,11,8
site4,11,340,1,1
site4,11,330,7,15
site4,11,320,13,11
site4,11,350,13,2
site4,11,0,5,9
site4,11,330,3,16
site4,11,300,11,11
site4,11,0,1,10
site4,11,330,-1,2
site4,11,350,9,6
site4,11,320,11,2
site4,11,310,13,0
site4,11,300,-3,11
site5,12,345,12,0
site5,12,355,14,14
site5,12,335,8,4
site5,12,15,8,4
site5,12,315,14,10
site5,12,325,20,12
site5,12,325,16,10
site5,12,335,12,2
site5,12,355,6,12
site5,12,315,2,16
site5,12,315,12,5
site5,12,335,20,1
site5,12,15,4,4
site5,12,335,14,15
site5,12,315,14,12
site5,12,15,18,2
site5,12,325,2,10
site5,12,335,10,14
site5,12,325,10,1
site5,12,325,18,6
site5,13,190,7,0
site5,13,180,13,4
site5,13,200,-1,14
site5,13,190,-3,12
site5,13,200,5,13
site5,13,180,17,11
site5,13,190,15,3
site5,13,200,9,8
site5,13,170,11,0
site5,13,190,17,5
site5,13,160,17,14
site5,13,220,5,2
site5,13,180,5,7
site5,13,220,9,2
site5,13,160,17,1
site5,13,160,17,15
site5,13,160,7,14
site5,13,200,1,9
site5,13,190,-1,4
site5,13,220,1,7
site5,14,75,12,0
site5,14,65,14,5
site5,14,95,20,16
site5,14,85,10,8
site5,14,75,4,15
site5,14,85,16,12
site5,14,105,14,0
site5,14,75,16,13
site5,14,75,14,12
site5,14,105,16,12
site5,14,75,22,5
site5,14,95,22,2
site5,14,65,22,9
site5,14,105,22,5
site5,14,45,22,10
site5,14,75,16,3
site5,14,105,18,6
site5,14,65,2,9
site5,14,105,6,15
site5,14,65,8,4
site6,15,260,3,0
site6,15,280,7,13
site6,15,260,5,0
site6,15,260,7,16
site6,15,250,-1,2
site6,15,250,1,5
site6,15,270,5,3
site6,15,250,-5,0
site6,15,260,-3,11
site6,15,240,1,0
site6,15,240,-5,3
site6,15,280,5,3
site6,15,290,-3,15
site6,15,280,1,10
site6,15,290,11,10
site6,15,250,1,7
site6,15,230,9,16
site6,15,250,1,13
site6,15,240,-7,11
site6,15,270,7,2
site6,16,190,3,0
site6,16,170,13,2
site6,16,180,1,16
site6,16,200,9,16
site6,16,160,-3,8
site6,16,160,9,15
site6,16,220,-7,14
site6,16,170,-7,2
site6,16,200,1,0
site6,16,210,1,8
site6,16,160,3,0
site6,16,200,5,6
site6,16,220,13,8
site6,16,180,9,8
site6,16,220,-3,8
site6,16,180,-5,15
site6,16,220,-3,2
site6,16,200,11,7
site6,16,180,3,1
site6,16,220,13,0
site6,17,350,3,0
site6,17,340,11,2
site6,17,340,-5,15
site6,17,20,-1,12
site6,17,340,11,7
site6,17,350,3,7
site6,17,340,-3,2
site6,17,20,-5,10
site6,17,20,9,3
site6,17,350,1,14
site6,17,330,1,15
site6,17,20,-5,14
site6,17,340,1,3
site6,17,320,1,13
site6,17,340,5,13
site6,17,0,-5,4
site6,17,0,1,10
site6,17,330,11,3
site6,17,340,-3,13
site6,17,20,13,2
site7,18,140,3,0
site7,18,140,7,7
site7,18,160,-3,4
site7,18,170,1,16
site7,18,120,5,12
site7,18,170,13,6
site7,18,160,-3,10
site7,18,160,9,6
site7,18,110,7,12
site7,18,110,5,5
site7,18,110,-3,10
site7,18,110,-7,0
site7,18,150,5,16
site7,18,130,-7,10
site7,18,120,11,15
site7,18,120,11,10
site7,18,150,1,2
site7,18,130,13,2
site7,18,130,7,8
site7,18,160,-1,7
site7,19,340,3,0
site7,19,350,11,15
site7,19,320,11,16
site7,19,320,11,3
site7,19,320,-1,11
site7,19,10,5,0
site7,19,330,-5,8
site7,19,0,-1,4
site7,19,320,3,15
site7,19,0,1,16
site7,19,10,9,12
site7,19,350,-3,0
site7,19,310,9,12
site7,19,320,9,15
site7,19,330,-5,13
site7,19,350,7,8
site7,19,10,11,1
site7,19,320,-3,6
site7,19,330,1,16
site7,19,330,1,7
site8,20,195,14,0
site8,20,205,24,9
site8,20,165,24,3
site8,20,185,10,11
site8,20,205,20,15
site8,20,215,16,0
site8,20,225,18,1
site8,20,175,24,12
site8,20,165,12,0
site8,20,205,14,2
site8,20,215,4,15
site8,20,195,16,8
site8,20,195,20,1
site8,20,205,6,6
site8,20,165,14,0
site8,20,205,14,5
site8,20,215,6,13
site8,20,185,20,1
site8,20,215,18,3
site8,20,225,12,8
site8,21,40,18,0
site8,21,40,24,15
site8,21,60,22,14
site8,21,50,22,3
site8,21,70,18,13
site8,21,40,8,5
site8,21,40,10,7
site8,21,50,22,11
site8,21,50,18,5
site8,21,20,16,3
site8,21,20,14,0
site8,21,20,18,4
site8,21,60,24,6
site8,21,30,24,14
site8,21,50,26,3
site8,21,60,22,15
site8,21,40,20,16
site8,21,30,28,12
site8,21,10,24,16
site8,21,20,26,15
site8,22,280,10,0
site8,22,310,10,5
site8,22,280,0,5
site8,22,290,2,11
site8,22,250,6,7
site8,22,280,10,6
site8,22,310,2,2
site8,22,300,8,16
site8,22,250,18,10
site8,22,280,18,7
site8,22,290,18,5
site8,22,310,20,10
site8,22,310,16,14
site8,22,290,12,0
site8,22,260,2,2
site8,22,300,16,2
site8,22,290,6,5
site8,22,250,2,10
site8,22,250,2,1
site8,22,260,6,6
site9,23,190,10,0
site9,23,210,20,11
site9,23,160,16,16
site9,23,190,6,16
site9,23,210,2,7
site9,23,220,4,13
site9,23,190,6,9
site9,23,160,2,12
site9,23,190,14,7
site9,23,160,12,4
site9,23,160,4,8
site9,23,170,2,11
site9,23,220,20,0
site9,23,210,0,7
site9,23,210,12,6
site9,23,210,0,5
site9,23,180,12,4
site9,23,200,4,10
site9,23,210,0,4
site9,23,170,4,0
site9,24,20,16,0
site9,24,20,20,1
site9,24,0,26,3
site9,24,20,12,0
site9,24,30,20,1
site9,24,20,6,0
site9,24,350,10,13
site9,24,0,14,8
site9,24,40,12,14
site9,24,0,18,4
site9,24,40,26,8
site9,24,50,12,9
site9,24,30,24,8
site9,24,10,20,9
site9,24,40,20,15
site9,24,40,14,3
site9,24,10,20,12
site9,24,350,6,14
site9,24,40,12,11
site9,24,0,18,10
site9,25,100,10,0
site9,25,110,12,15
site9,25,110,2,0
site9,25,90,10,9
site9,25,130,10,6
site9,25,90,8,9
site9,25,90,10,3
site9,25,100,6,1
site9,25,80,18,4
site9,25,120,14,16
site9,25,70,10,5
site9,25,100,2,7
site9,25,120,0,14
site9,25,110,8,9
site9,25,130,14,16
site9,25,90,14,7
site9,25,130,8,0
site9,25,90,20,1
site9,25,80,6,4
site9,25,100,4,6
site10,26,180,3,0
site10,26,200,3,8
site10,26,200,11,2
site10,26,180,11,14
site10,26,180,3,1
site10,26,200,9,11
site10,26,150,-5,7
site10,26,170,7,10
site10,26,190,-3,2
site10,26,200,3,5
site10,26,180,11,15
site10,26,190,11,13
site10,26,190,-5,14
site10,26,160,1,14
site10,26,190,7,2
site10,26,210,-1,1
site10,26,210,5,14
site10,26,160,-3,3
site10,26,200,-5,7
site10,26,150,-5,5
site10,27,60,3,0
site10,27,70,1,2
site10,27,40,13,7
site10,27,60,9,16
site10,27,50,1,15
site10,27,80,1,9
site10,27,40,11,10
site10,27,60,3,5
site10,27,70,7,11
site10,27,80,1,1
site10,27,60,-5,7
site10,27,30,3,5
site10,27,30,9,11
site10,27,60,5,9
site10,27,30,1,1
site10,27,80,13,12
site10,27,40,9,11
site10,27,40,-7,2
site10,27,70,-5,0
site10,27,40,9,15
site10,28,300,3,0
site10,28,280,11,16
site10,28,290,-3,11
site10,28,300,1,0
site10,28,290,-5,5
site10,28,300,5,3
site10,28,300,-5,13
site10,28,290,-5,7
site10,28,270,11,12
site10,28,310,1,10
site10,28,280,13,7
site10,28,300,-7,6
site10,28,280,3,0
site10,28,320,9,14
site10,28,310,11,12
site10,28,320,5,11
site10,28,270,7,2
site10,28,310,-5,15
site10,28,320,-5,6
site10,28,310,9,3
site11,29,280,2,0
site11,29,280,0,1
site11,29,290,12,8
site11,29,280,2,13
site11,29,250,6,1
site11,29,300,12,11
site11,29,310,12,15
site11,29,300,4,11
site11,29,300,8,4
site11,29,310,6,12
site11,29,280,-4,6
site11,29,290,2,3
site11,29,290,-2,9
site11,29,310,8,3
site11,29,310,8,0
site11,29,310,-8,8
site11,29,310,2,13
site11,29,270,2,3
site11,29,300,-8,8
site11,29,300,-6,13
site11,30,100,2,0
site11,30,110,4,9
site11,30,130,-8,6
site11,30,90,2,11
site11,30,130,4,2
site11,30,80,12,4
site11,30,80,-8,13
site11,30,80,8,8
